marca_tiempo,edad,genero,zona_residencia,nivel_educativo,nivel_socioeco,horas_estudio,asistencia,plataforma,horas_redes,momento_uso,actividad_fisica,sintomas_abstine,alteracion_sueno,modificacion_ani,ansiedad,depresion,autoestima,promedio_raw,distraccion_acad,promedio,cat_horas_redes
05/07/2025 12:38:06,20,Female,Urban,Tertiary Education,SSC / O' Level,3,90,Instagram,6,Night,Yes,No symtoms,3,3,2,3,3,3.75,2,3.75,4–6 h
05/07/2025 12:45:48,21,Female,Urban,HSC / A' Level,SSC / O' Level,3,95,YouTube,5,Night,Yes,No symtoms,2,2,2,2,2,4.55,1,4.55,4–6 h
05/07/2025 12:39:03,19,Female,Urban,Tertiary Education,Tertiary Education,3,80,Instagram,2,Night,No,No symtoms,3,2,3,4,1,HSC-5.00(2024),2,5,0–2 h
05/07/2025 12:39:54,19,Male,Urban,HSC / A' Level,SSC / O' Level,4,75,Facebook,2.5,Afternoon,Yes,Feeling restless,4,3,4,5,3,GPA 4.67 out of 5,3,4.67,2–4 h
05/07/2025 12:40:08,21,Male,Urban,HSC / A' Level,Tertiary Education,1,80,Instagram,7,Night,No,Cravings,3,5,4,3,4,4.8,4,4.8,>6 h
05/07/2025 12:41:24,20,Female,Urban,Tertiary Education,HSC / A' Level,2,98,Instagram,6,Evening,Yes,Trouble concentrating,3,4,3,4,3,3.67,4,3.67,4–6 h
05/07/2025 12:43:06,18,Male,Urban,HSC / A' Level,Tertiary Education,4,80,YouTube,3,Night,No,No symtoms,1,4,2,4,3,5,3,5,2–4 h
05/07/2025 12:44:25,20,Female,Urban,Tertiary Education,HSC / A' Level,3,90,Instagram,0.5,Night,No,No symtoms,3,2,3,2,4,4.58,2,4.58,0–2 h
05/07/2025 12:44:29,21,Female,Urban,Tertiary Education,Tertiary Education,3,95,Instagram,4.5,Night,Yes,No symtoms,3,4,3,3,4,4.75,3,4.75,4–6 h
05/07/2025 12:44:59,20,Male,Urban,Tertiary Education,HSC / A' Level,5,80,Instagram,3,Night,Yes,No symtoms,2,3,2,2,2,5,2,5,2–4 h
05/07/2025 12:56:00,21,Female,Urban,Tertiary Education,Madrasah,1,99,Other,2.5,Evening,No,No symtoms,4,1,2,1,1,5,1,5,2–4 h
05/07/2025 13:00:41,20,Male,Urban,Tertiary Education,HSC / A' Level,4,90,Instagram,6,Night,Yes,No symtoms,2,4,1,4,4,GPA 5,1,5,4–6 h
