promedio,horas_redes,distraccion_acad,horas_estudio,asistencia,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,indice
3.64,8,3,4,80,3.9605686518915997,-0.32056865189159955,0.010966962170954988,0.6002279468596255,5.34090313647344e-4,-0.537582599266986,29
3.8,2,5,0,80,3.6949782796362816,0.10502172036371826,0.023968566460642018,0.6004508538916017,1.286413413963484e-4,0.1772869536166913,30
3.65,3.5,3,6,88.8888888888889,4.314579797377642,-0.6645797973776424,0.008449726617200967,0.5994051367479097,0.0017596054700926408,-1.1130619001327544,31
3.7,2,2,3,75,4.073938500344704,-0.3739385003447042,0.007163903936193255,0.6001390164692155,4.710888809864553e-4,-0.6258798278061037,32
3.16,2,4,0.1,25,3.1826281311753157,-0.02262813117531559,0.052360449264680614,0.6004767493189936,1.3839558504634422e-5,-0.03876650510968895,33
3.96,2,4,5,80,4.114237951777021,-0.15423795177702093,0.011840517612899018,0.6004201103513683,1.33723259658729e-4,-0.258766039944786,34
3.8299999999999996,5.5,3,2,100,4.106316097010811,-0.27631609701081095,0.007074820006221408,0.6002929696169501,2.5398178491452397e-4,-0.46246351440128913,35
4.8,4,1,5,80,4.2475346127568665,0.5524653872431333,0.009846982331109193,0.5997357604896506,0.0014210734597852727,0.9259413263780355,36
3.8,5,1,4,99,4.337519099102338,-0.5375190991023384,0.010571580034687278,0.5997748890184891,0.001446327999089576,-0.9012209136223254,37
4,3,4,1,100,4.038878399647823,-0.0388783996478228,0.012687766140773604,0.6004743652971278,9.120123943991676e-6,-0.06525453091307387,38
3.5,2,4,2,80,3.9080523436200574,-0.4080523436200574,0.010091661605777628,0.6000731196022475,7.948996761096802e-4,-0.6839871406418155,39
3.9,2,5,4,99,4.175382603572135,-0.2753826035721354,0.01884157442511956,0.6002920132476336,6.880496380223046e-4,-0.4636566406682959,40
3.96,12,1,1,85,3.6524795730033115,0.30752042699668847,0.08512625614636338,0.6002292363780455,0.004458584444441363,0.5361952206465365,41
3.8,3.5,5,2,100,4.038627662221729,-0.23862766222172915,0.014543869729411659,0.600338973914306,3.9532548348486936e-4,-0.4008959698430347,42
4,4.5,1,2,90,4.1261131521073935,-0.1261131521073935,0.009567414442635112,0.6004394034613758,7.190736267881939e-5,-0.2113379410682286,43
3.3,6,1,6,70,4.114556107979757,-0.8145561079797572,0.022299473119973552,0.5988426468579926,0.007175179419071195,-1.3738762990244369,44
3.8499999999999996,3,3,1,90,3.996333899666708,-0.1463338996667085,0.007544616554448738,0.6004261224972129,7.603489206533725e-5,-0.24497344065315088,45
3.56,5,2,5,95,4.317395849871882,-0.7573958498718816,0.006990690546639056,0.5990861981165135,0.0018852421133304174,-1.2675812677853713,46
3.88,5,5,6,95,4.249352301482122,-0.36935230148212206,0.017636778095292155,0.6001437567074256,0.0011557516782015366,-0.6214902411928012,47
3.25,10,5,1,20,3.0608537020549216,0.18914629794507842,0.08221862413152352,0.6003842314314399,0.0016188077226966888,0.32927425573161734,48
3.5,4,3,1,7,3.0719066464880784,0.42809335351192157,0.07171831202596936,0.6000027517713995,0.007070584480938006,0.7410169548792109,49
3.96,4.5,1,3,98,4.281363869097217,-0.32136386909721715,0.009639563029905896,0.6002270411812844,4.705141941666768e-4,-0.538554870219734,50
3,4,3,0,100,4.008998463834227,-1.008998463834227,0.013615069711537515,0.5979890067419344,0.006604133972707611,-1.694325480997002,51
3.8,6,5,2,90,3.913619699611597,-0.11361969961159701,0.012251004910388115,0.6004465961540272,7.51438854124183e-5,-0.19066013228683387,52
3.2,4,4,0,90,3.8452462771599523,-0.6452462771599521,0.012146755593100717,0.5994629174401126,0.0024023390435720738,-1.0827017624827129,53
